Timestamp,Mức độ hiểu biết của bạn về mua bán trực tuyến?,Bạn thực hiện các dịch vụ thương mại điện tử bao nhiêu lần mỗi tuần .,Tìm hiểu thông tin sản phẩm,Sử dụng thẻ ATM,Sử dụng thẻ quốc tế ,"Mua bán hàng hóa (hàng hóa vật lí, sờ vào được đó nha)","Mua khóa học trả tiền, học trực tuyến có tốn tiền ","Mua phần mềm, game",Sở hữu gian hàng trực tuyến ?,Mức độ hài lòng về các giao dịch trực tuyến đã thực hiện , Bạn có ý định tham gia hay tiếp tục tham gia vào thương mại điện tử trong tương lai không?, Bạn sẽ giới thiệu cho bạn bè về mua bán trực tuyến,"Quan điểm của bạn về thương mại điện tử ở TP Hồ Chí Minh, Việt Nam và Thế Giới."
1/27/2015 23:37:05,2,Ít hơn 1,Có,Không,Không,Không,Không,Không,Không,2,Có,3,"1) Ở việt nam làm chậm quá -_- cỡ 2 3 ngày mới tới, chỉ cần ra ngoài chạy mua cái là có rồi.
2) Ko xem hàng trước được. VD như mua đt cũ lại về vài ngày hư biết đổ thừa ai :(
p/s: Mình là Huỳnh Gia Bảo ♥"
1/27/2015 23:37:59,2,Ít hơn 1,Có,Có,Có,Không,Không,Không,Không,0,Không,0,TP HCM và VN : như **** -__-
1/27/2015 23:56:49,1,Ít hơn 1,Có,Có,Không,Có,Không,Không,Không,4,Có,2,
1/28/2015 5:03:49,1,Ít hơn 1,Có,Không,Không,Có,Không,Không,Không,2,Có,2,meow
1/28/2015 9:48:35,2,Chưa bao giờ,,,,,,,,,,,
1/28/2015 16:41:16,3,1-3,Có,Có,Không,Có,Không,Có,Không,4,Có,4,
1/28/2015 16:40:25,2,Ít hơn 1,Có,Không,Có,Có,Có,Không,Không,3,Có,3,"Lêu Lêu , Trả tao 10k "
1/28/2015 17:25:25,1,Ít hơn 1,Có,Có,Không,Không,Có,Không,Không,1,Có,1,
1/28/2015 18:46:11,4,1-3,Có,Có,Có,Có,Không,Không,Không,4,Có,5,
1/28/2015 19:37:41,3,Ít hơn 1,Có,Không,Có,Có,Không,Không,Không,2,Có,2,"Như beep
Ký tên: Phúc Nguyễn :))"
1/28/2015 19:54:37,3,1-3,Có,Có,Có,Có,Có,Không,Có,4,Không,3,hơ hơ
1/28/2015 20:27:33,2,Ít hơn 1,Có,Có,Không,Không,Không,Không,Không,2,Có,5,
1/28/2015 20:29:23,4,Ít hơn 1,Có,Có,Có,Có,Không,Không,Không,3,Có,3,
1/28/2015 20:40:01,2,Ít hơn 1,Có,Không,Không,Không,Không,Không,Không,2,Không,1,
1/28/2015 20:41:35,1,Chưa bao giờ,,,,,,,,,,,
1/28/2015 20:44:18,3,Ít hơn 1,Có,Không,Không,Có,Có,Có,Không,5,Có,5,
1/28/2015 20:45:05,4,5-7,Có,Có,Không,Có,Không,Không,Không,3,Không,3,
1/28/2015 20:59:36,2,1-3,Có,Có,Không,Có,Không,Không,Có,2,Có,2,
1/28/2015 21:13:32,4,1-3,Có,Không,Có,Không,Có,Có,Không,4,Có,5,
1/28/2015 21:15:34,4,Chưa bao giờ,,,,,,,,,,,
1/28/2015 21:20:38,3,Ít hơn 1,Có,Không,Không,Có,Không,Có,Không,4,Có,4,
1/28/2015 21:24:10,2,Ít hơn 1,Có,Không,Không,Không,Không,Có,Không,2,Có,2,
1/28/2015 21:33:33,2,Ít hơn 1,Có,Có,Không,Có,Không,Có,Không,3,Có,2,nô an sờ
1/28/2015 21:56:38,3,Ít hơn 1,Có,Có,Không,Không,Có,Không,Không,3,Có,3,
1/28/2015 22:15:36,3,7 trở lên,Có,Không,Không,Có,Không,Có,Không,3,Có,5,chỉ tin tưởng  được mốt số ít dịch vụ. Chất lượng không như trên hình website. Không tin tưởng đươc khi mua hàng
1/28/2015 23:11:56,5,7 trở lên,Có,Có,Có,Có,Không,Có,Có,3,Có,3,
1/28/2015 23:14:07,3,1-3,Có,Không,Không,Không,Không,Không,Không,1,Có,0,"Thế giới: rất phát triển
TP HCM: phát triển nhưng chất lượng sản phẩm còn kém"
1/29/2015 0:04:18,2,Chưa bao giờ,,,,,,,,,,,
1/29/2015 1:55:43,5,Ít hơn 1,Có,Có,Không,Không,Không,Không,Không,3,Có,4,
1/29/2015 9:41:24,2,Chưa bao giờ,,,,,,,,,,,
1/29/2015 10:00:23,3,Ít hơn 1,Có,Có,Có,Không,Không,Không,Không,2,Có,2,
1/29/2015 10:05:54,0,Chưa bao giờ,,,,,,,,,,,
1/29/2015 10:06:13,2,1-3,Có,Có,Không,Có,Không,Không,Có,3,Có,3,
1/29/2015 10:06:40,3,Ít hơn 1,Có,Không,Không,Có,Không,Có,Không,5,Có,5,
1/29/2015 10:08:51,4,7 trở lên,Có,Có,Không,Có,Không,Có,Không,4,Có,4,Ờ thì cũng ok thôi =)) uy tín thì quẩy =))
1/29/2015 10:09:53,3,Chưa bao giờ,,,,,,,,,,,
1/29/2015 10:09:57,3,1-3,Có,Không,Không,Có,Không,Không,Không,3,Có,2,
1/29/2015 10:12:02,4,7 trở lên,Có,Có,Không,Có,Không,Có,Không,4,Có,4,Good
1/29/2015 10:15:17,2,Ít hơn 1,Có,Có,Không,Không,Không,Không,Không,2,Có,3,
1/29/2015 10:17:10,3,5-7,Có,Có,Không,Có,Không,Không,Có,3,Có,5,
1/29/2015 10:18:05,4,7 trở lên,Có,Không,Có,Có,Không,Không,Không,5,Có,5,Chi pho bien trong gioi tre o viet nam
1/29/2015 10:19:29,1,Ít hơn 1,Có,Có,Không,Không,Không,Không,Không,3,Có,3,Tiện lợi nhưng nhiều khi không đảm bảo chất lượng
1/29/2015 10:21:47,3,Ít hơn 1,Có,Không,Có,Không,Không,Có,Không,4,Có,3,
1/29/2015 10:23:31,3,Ít hơn 1,Có,Có,Không,Có,Không,Có,Không,3,Có,0,
1/29/2015 10:24:38,1,Ít hơn 1,Có,Không,Không,Không,Có,Có,Không,4,Có,4,".....meow.....
=))) :v :v


nói chứ ở TP HCM có cái tốt có cài chất lượng vẫn còn tồi. 50 - 50. Còn cả Việt Nam thì không chắc. Còn thế giới thì.... hên xui :v . Nói chung tốt :))"
1/29/2015 10:25:16,3,Ít hơn 1,Có,Không,Không,Có,Không,Không,Không,3,Không,4,
1/29/2015 10:25:17,3,1-3,Có,Có,Có,Không,Có,Không,Không,3,Có,3,"Chưa có tính phổ biến, nhiều người vn64 cảm thấy khó chịu trong việc thanh toán"
1/29/2015 10:28:10,1,1-3,Có,Có,Không,Không,Không,Không,Không,2,Có,1,
1/29/2015 10:29:36,1,1-3,Không,Không,Có,Có,Có,Có,Có,0,Có,0,
1/29/2015 10:31:42,1,Chưa bao giờ,,,,,,,,,,,
1/29/2015 10:32:06,0,Chưa bao giờ,,,,,,,,,,,
1/29/2015 10:32:45,1,Ít hơn 1,Có,Có,Không,Có,Không,Có,Không,3,Có,0,...meow....
1/29/2015 10:34:51,3,Ít hơn 1,Có,Có,Không,Có,Có,Không,Không,3,Có,0,
1/29/2015 10:37:35,2,Ít hơn 1,Có,Có,Không,Không,Không,Không,Không,3,Có,3,
1/29/2015 10:37:41,4,1-3,Có,Có,Không,Có,Không,Có,Không,3,Có,4,
1/29/2015 10:37:45,2,7 trở lên,Có,Có,Không,Có,Không,Có,Không,3,Có,3,
1/29/2015 10:40:51,3,Ít hơn 1,Có,Có,Không,Có,Không,Có,Không,3,Có,4,meow
1/29/2015 10:42:00,3,Ít hơn 1,Có,Không,Có,Không,Không,Có,Có,4,Có,3,"Tại TP. HCM, Việt Nam: chưa được tốt, dễ có trường hợp lừa gạt, ví dụ ""Chợ tốt"".
Quốc tế: Bảo mật và uy tín tốt hơn hẳn, ví dụ: google play store, có thể xem rating trước khi mua."
1/29/2015 10:42:06,5,Ít hơn 1,Có,Có,Có,Có,Không,Có,Có,4,Có,4,
1/29/2015 10:43:32,2,Chưa bao giờ,,,,,,,,,,,
1/29/2015 10:55:36,3,Ít hơn 1,Có,Có,Không,Có,Không,Có,Không,3,Có,3,
1/29/2015 10:56:46,0,Chưa bao giờ,,,,,,,,,,,
1/29/2015 10:58:00,3,Chưa bao giờ,,,,,,,,,,,
1/29/2015 11:02:26,4,Chưa bao giờ,,,,,,,,,,,
1/29/2015 11:11:53,3,1-3,Có,Có,Không,Có,Không,Có,Không,2,Có,2,"Chat luong san pham kem, quang cao qua nhieu !"
1/29/2015 11:16:26,2,Ít hơn 1,Có,Có,Không,Có,Có,Không,Không,4,Có,2,
1/29/2015 11:25:28,3,5-7,Có,Có,Không,Có,Có,Có,Không,4,Có,5,
1/29/2015 12:11:32,0,Chưa bao giờ,,,,,,,,,,,
1/29/2015 12:16:41,5,1-3,Có,Có,Có,Có,Không,Có,Không,4,Có,2,
1/29/2015 12:30:52,4,1-3,Có,Có,Có,Có,Không,Có,Không,3,Có,3,
1/29/2015 12:40:18,3,Ít hơn 1,Có,Không,Không,Không,Có,Không,Không,4,Có,3,no comment
1/29/2015 12:43:31,4,1-3,Có,Có,Không,Không,Không,Không,Không,4,Có,5,ko có ý kiến
1/29/2015 13:47:05,2,Ít hơn 1,Có,Có,Không,Có,Không,Có,Không,2,Có,1,Chưa có dịp mua sắm nhiều trên mạng nhưng nhìn chung khá là ưng ý... Nhưng mà nhiều vụ lừa bịp ghê quá @@
1/29/2015 14:16:13,0,Ít hơn 1,Có,Có,Không,Không,Không,Không,Không,3,Có,4,
1/29/2015 18:42:28,3,Ít hơn 1,Có,Không,Không,Có,Không,Không,Không,5,Có,3,
1/29/2015 19:51:25,4,7 trở lên,Có,Có,Không,Có,Không,Có,Không,3,Có,4,
1/29/2015 19:52:34,3,1-3,Có,Có,Không,Có,Không,Không,Không,4,Có,4,
1/30/2015 21:56:27,2,Chưa bao giờ,,,,,,,,,,,
1/31/2015 20:36:30,4,1-3,Có,Có,Không,Có,Không,Không,Không,3,Có,2,Mình nghĩ thương mại điện tử sẽ phát triển rất mạnh trong thời gian tới  vì tính tiện lợi của nó